📺央视频道,#genre#
CCTV1,http://114.252.126.226:8899/hls/1/index.m3u8
CCTV2,http://114.252.126.226:8899/hls/2/index.m3u8
CCTV3,http://114.252.126.226:8899/hls/3/index.m3u8
CCTV4,http://114.252.126.226:8899/hls/4/index.m3u8
CCTV5,http://114.252.126.226:8899/hls/5/index.m3u8
CCTV6,http://114.252.126.226:8899/hls/6/index.m3u8
CCTV7,http://114.252.126.226:8899/hls/7/index.m3u8
CCTV8,http://114.252.126.226:8899/hls/8/index.m3u8
CCTV9,http://114.252.126.226:8899/hls/9/index.m3u8
CCTV10,http://114.252.126.226:8899/hls/10/index.m3u8
CCTV11,http://114.252.126.226:8899/hls/11/index.m3u8
CCTV12,http://114.252.126.226:8899/hls/12/index.m3u8
CCTV13,http://114.252.126.226:8899/hls/13/index.m3u8
CCTV14,http://114.252.126.226:8899/hls/14/index.m3u8
CCTV15,http://114.252.126.226:8899/hls/15/index.m3u8
CCTV2,http://218.19.108.170:808/hls/2/index.m3u8
CCTV1,http://218.19.108.170:808/hls/1/index.m3u8
CCTV4,http://218.19.108.170:808/hls/3/index.m3u8
CCTV9,http://218.19.108.170:808/hls/5/index.m3u8
CCTV5+,http://218.19.108.170:808/hls/31/index.m3u8
CCTV5+,http://218.19.108.170:808/hls/31/index.m3u8
CCTV2,http://218.19.109.221:808/hls/2/index.m3u8
CCTV1,http://218.19.109.221:808/hls/1/index.m3u8
CCTV4,http://218.19.109.221:808/hls/3/index.m3u8
CCTV9,http://218.19.109.221:808/hls/5/index.m3u8
CCTV5+,http://218.19.109.221:808/hls/31/index.m3u8
CCTV5+,http://218.19.109.221:808/hls/31/index.m3u8
CCTV2,http://218.19.108.185:808/hls/2/index.m3u8
CCTV1,http://218.19.108.185:808/hls/1/index.m3u8
CCTV4,http://218.19.108.185:808/hls/3/index.m3u8
CCTV9,http://218.19.108.185:808/hls/5/index.m3u8
CCTV5+,http://218.19.108.185:808/hls/31/index.m3u8
CCTV5+,http://218.19.108.185:808/hls/31/index.m3u8
CCTV2,http://218.19.108.254:808/hls/2/index.m3u8
CCTV1,http://218.19.108.254:808/hls/1/index.m3u8
CCTV4,http://218.19.108.254:808/hls/3/index.m3u8
CCTV9,http://218.19.108.254:808/hls/5/index.m3u8
CCTV5+,http://218.19.108.254:808/hls/31/index.m3u8
CCTV5+,http://218.19.108.254:808/hls/31/index.m3u8
CCTV2,http://218.19.109.55:808/hls/2/index.m3u8
CCTV1,http://218.19.109.55:808/hls/1/index.m3u8
CCTV4,http://218.19.109.55:808/hls/3/index.m3u8
CCTV9,http://218.19.109.55:808/hls/5/index.m3u8
CCTV5+,http://218.19.109.55:808/hls/31/index.m3u8
CCTV5+,http://218.19.109.55:808/hls/31/index.m3u8
CCTV1,http://182.150.31.44:808/hls/1/index.m3u8
CCTV2,http://182.150.31.44:808/hls/2/index.m3u8
CCTV3,http://182.150.31.44:808/hls/3/index.m3u8
CCTV4,http://182.150.31.44:808/hls/4/index.m3u8
CCTV5,http://182.150.31.44:808/hls/5/index.m3u8
CCTV6,http://182.150.31.44:808/hls/6/index.m3u8
CCTV7,http://182.150.31.44:808/hls/7/index.m3u8
CCTV8,http://182.150.31.44:808/hls/8/index.m3u8
CCTV9,http://182.150.31.44:808/hls/9/index.m3u8
CCTV10,http://182.150.31.44:808/hls/10/index.m3u8
CCTV11,http://182.150.31.44:808/hls/11/index.m3u8
CCTV12,http://182.150.31.44:808/hls/12/index.m3u8
CCTV13,http://182.150.31.44:808/hls/13/index.m3u8
CCTV15,http://182.150.31.44:808/hls/15/index.m3u8
CCTV17,http://182.150.31.44:808/hls/17/index.m3u8
CCTV5+,http://182.150.31.44:808/hls/19/index.m3u8
📺卫视频道,#genre#
北京卫视,http://114.252.126.226:8899/hls/16/index.m3u8
天津卫视,http://114.252.126.226:8899/hls/22/index.m3u8
湖北卫视,http://114.252.126.226:8899/hls/23/index.m3u8
山东卫视,http://114.252.126.226:8899/hls/24/index.m3u8
湖南卫视,http://114.252.126.226:8899/hls/25/index.m3u8
安徽卫视,http://114.252.126.226:8899/hls/26/index.m3u8
江苏卫视,http://114.252.126.226:8899/hls/27/index.m3u8
江西卫视,http://114.252.126.226:8899/hls/28/index.m3u8
浙江卫视,http://114.252.126.226:8899/hls/29/index.m3u8
四川卫视,http://114.252.126.226:8899/hls/30/index.m3u8
河北卫视,http://114.252.126.226:8899/hls/31/index.m3u8
北京卫视,http://218.19.108.170:808/hls/11/index.m3u8
湖北卫视,http://218.19.108.170:808/hls/14/index.m3u8
山东卫视,http://218.19.108.170:808/hls/15/index.m3u8
黑龙江卫视,http://218.19.108.170:808/hls/16/index.m3u8
北京卫视,http://218.19.109.221:808/hls/11/index.m3u8
湖北卫视,http://218.19.109.221:808/hls/14/index.m3u8
山东卫视,http://218.19.109.221:808/hls/15/index.m3u8
黑龙江卫视,http://218.19.109.221:808/hls/16/index.m3u8
北京卫视,http://218.19.108.185:808/hls/11/index.m3u8
湖北卫视,http://218.19.108.185:808/hls/14/index.m3u8
山东卫视,http://218.19.108.185:808/hls/15/index.m3u8
黑龙江卫视,http://218.19.108.185:808/hls/16/index.m3u8
北京卫视,http://218.19.108.254:808/hls/11/index.m3u8
湖北卫视,http://218.19.108.254:808/hls/14/index.m3u8
山东卫视,http://218.19.108.254:808/hls/15/index.m3u8
黑龙江卫视,http://218.19.108.254:808/hls/16/index.m3u8
北京卫视,http://218.19.109.55:808/hls/11/index.m3u8
