📺CIBN系列,#genre#
汕头综合,http://27.41.245.25:808/hls/1/index.m3u8
汕头综合,http://27.41.244.203:808/hls/1/index.m3u8
乌兰察布新闻综合,http://1.24.39.180:808/hls/26/index.m3u8
肥西新闻综合,http://112.27.235.94:8000/hls/21/index.m3u8
新闻综合,http://116.228.170.214:888/hls/18/index.m3u8
📺数字频道,#genre#
汕头经济生活,http://27.41.245.25:808/hls/2/index.m3u8
汕头经济生活,http://27.41.244.203:808/hls/2/index.m3u8
乌兰察布经济生活,http://1.24.39.180:808/hls/24/index.m3u8
金鹰卡通,http://113.88.211.3:9898/hls/64/index.m3u8
嘉佳卡通,http://113.88.211.3:9898/hls/66/index.m3u8
山西文体生活,http://183.188.109.135:9003/hls/48/index.m3u8
金鹰卡通高清,http://42.48.106.247:808/hls/23/index.m3u8
金鹰纪实高清,http://42.48.106.247:808/hls/25/index.m3u8
快乐垂钓,http://42.48.106.247:808/hls/62/index.m3u8
先锋乒羽,http://42.48.106.247:808/hls/77/index.m3u8
中国天气,http://42.48.106.247:808/hls/82/index.m3u8
财富天下,http://42.48.106.247:808/hls/83/index.m3u8
家庭理财,http://42.48.106.247:808/hls/84/index.m3u8
天元围棋,http://42.48.106.247:808/hls/75/index.m3u8
优漫卡通,http://42.48.106.247:808/hls/66/index.m3u8
卡酷少儿,http://42.48.106.247:808/hls/67/index.m3u8
嘉佳卡通,http://42.48.106.247:808/hls/68/index.m3u8
武术世界,http://42.48.106.247:808/hls/119/index.m3u8
文物宝库,http://42.48.106.247:808/hls/120/index.m3u8
证券服务,http://42.48.106.247:808/hls/124/index.m3u8
合肥生活,http://112.27.235.94:8000/hls/19/index.m3u8
欢笑剧场4K,http://113.234.207.248:81/hls/75/index.m3u8
动漫秀场,http://116.228.170.214:888/hls/21/index.m3u8
都市剧场,http://116.228.170.214:888/hls/22/index.m3u8
📺其他频道,#genre#
凤凰中文,http://27.41.245.25:808/hls/63/index.m3u8
凤凰中文,http://27.41.244.203:808/hls/63/index.m3u8
CCVT5,http://113.88.211.3:9898/hls/5/index.m3u8
IPTV6+,http://113.88.211.3:9898/hls/17/index.m3u8
IPTV8+,http://113.88.211.3:9898/hls/18/index.m3u8
炫动卡通,http://113.88.211.3:9898/hls/65/index.m3u8
CETV1,http://113.88.211.3:9898/hls/67/index.m3u8
SDETV,http://113.88.211.3:9898/hls/68/index.m3u8
CGTN,http://113.88.211.3:9898/hls/69/index.m3u8
IPTV少儿动画,http://113.88.211.3:9898/hls/72/index.m3u8
山西经济与科技,http://183.188.109.135:9003/hls/46/index.m3u8
山西社会与法制,http://183.188.109.135:9003/hls/47/index.m3u8
山西黄河,http://183.188.109.135:9003/hls/49/index.m3u8
CETV-1,http://42.48.106.247:808/hls/73/index.m3u8
CETV-2,http://42.48.106.247:808/hls/74/index.m3u8
长沙新闻,http://42.48.106.247:808/hls/58/index.m3u8
长沙政法,http://42.48.106.247:808/hls/59/index.m3u8
嘉丽购,http://42.48.106.247:808/hls/80/index.m3u8
快乐购,http://42.48.106.247:808/hls/78/index.m3u8
四海垂钓,http://42.48.106.247:808/hls/79/index.m3u8
天下收藏,http://42.48.106.247:808/hls/81/index.m3u8
LDetv,http://42.48.106.247:808/hls/132/index.m3u8
CGTN,http://112.27.235.94:8000/hls/17/index.m3u8
合肥新闻,http://112.27.235.94:8000/hls/18/index.m3u8
合肥科创,http://112.27.235.94:8000/hls/20/index.m3u8
重温经典,http://112.27.235.94:8000/hls/50/index.m3u8
CGTN,http://221.14.142.118:9003/hls/16/index.m3u8
CCTV高尔夫·网球,http://113.234.207.248:81/hls/60/index.m3u8
中国教育,http://116.228.170.214:888/hls/19/index.m3u8
电视剧,http://116.228.170.214:888/hls/51/index.m3u8
CGTN,http://218.206.221.78:90/hls/16/index.m3u8
CETV,http://218.206.221.78:90/hls/19/index.m3u8
济源-1,http://218.206.221.78:90/hls/52/index.m3u8
📺港澳地区,#genre#
翡翠台,http://27.41.245.25:808/hls/64/index.m3u8
翡翠台,http://27.41.244.203:808/hls/64/index.m3u8
📺央视频道,#genre#
CCTV1,http://1.24.39.180:808/hls/1/index.m3u8
CCTV2,http://1.24.39.180:808/hls/2/index.m3u8
CCTV3,http://1.24.39.180:808/hls/3/index.m3u8
CCTV4,http://1.24.39.180:808/hls/4/index.m3u8
CCTV5,http://1.24.39.180:808/hls/5/index.m3u8
CCTV6,http://1.24.39.180:808/hls/6/index.m3u8
CCTV7,http://1.24.39.180:808/hls/7/index.m3u8
CCTV8,http://1.24.39.180:808/hls/8/index.m3u8
CCTV9,http://1.24.39.180:808/hls/9/index.m3u8
CCTV10,http://1.24.39.180:808/hls/10/index.m3u8
CCTV11,http://1.24.39.180:808/hls/11/index.m3u8
CCTV12,http://1.24.39.180:808/hls/12/index.m3u8
CCTV13,http://1.24.39.180:808/hls/13/index.m3u8
CCTV14,http://1.24.39.180:808/hls/14/index.m3u8
CCTV15,http://1.24.39.180:808/hls/15/index.m3u8
CCTV1,http://113.88.211.3:9898/hls/1/index.m3u8
CCTV2,http://113.88.211.3:9898/hls/2/index.m3u8
CCTV3,http://113.88.211.3:9898/hls/3/index.m3u8
CCTV4,http://113.88.211.3:9898/hls/4/index.m3u8
CCTV6,http://113.88.211.3:9898/hls/6/index.m3u8
CCTV7,http://113.88.211.3:9898/hls/7/index.m3u8
CCTV8,http://113.88.211.3:9898/hls/8/index.m3u8
CCTV9,http://113.88.211.3:9898/hls/9/index.m3u8
CCTV10,http://113.88.211.3:9898/hls/10/index.m3u8
CCTV11,http://113.88.211.3:9898/hls/11/index.m3u8
CCTV12,http://113.88.211.3:9898/hls/12/index.m3u8
CCTV13,http://113.88.211.3:9898/hls/13/index.m3u8
CCTV14,http://113.88.211.3:9898/hls/14/index.m3u8
CCTV15,http://113.88.211.3:9898/hls/15/index.m3u8
CCTV5+,http://113.88.211.3:9898/hls/16/index.m3u8
CCTV1,http://183.188.109.135:9003/hls/1/index.m3u8
CCTV2,http://183.188.109.135:9003/hls/2/index.m3u8
CCTV3,http://183.188.109.135:9003/hls/3/index.m3u8
CCTV4,http://183.188.109.135:9003/hls/4/index.m3u8
CCTV5,http://183.188.109.135:9003/hls/5/index.m3u8
CCTV5+,http://183.188.109.135:9003/hls/6/index.m3u8
CCTV6,http://183.188.109.135:9003/hls/7/index.m3u8
CCTV7,http://183.188.109.135:9003/hls/8/index.m3u8
CCTV8,http://183.188.109.135:9003/hls/9/index.m3u8
CCTV9,http://183.188.109.135:9003/hls/10/index.m3u8
CCTV10,http://183.188.109.135:9003/hls/11/index.m3u8
CCTV11,http://183.188.109.135:9003/hls/12/index.m3u8
CCTV12,http://183.188.109.135:9003/hls/13/index.m3u8
CCTV13,http://183.188.109.135:9003/hls/14/index.m3u8
CCTV14,http://183.188.109.135:9003/hls/15/index.m3u8
CCTV15,http://183.188.109.135:9003/hls/16/index.m3u8
CCTV16,http://183.188.109.135:9003/hls/17/index.m3u8
CCTV1,http://42.48.106.247:808/hls/1/index.m3u8
CCTV2,http://42.48.106.247:808/hls/2/index.m3u8
CCTV3,http://42.48.106.247:808/hls/3/index.m3u8
CCTV4,http://42.48.106.247:808/hls/4/index.m3u8
CCTV5,http://42.48.106.247:808/hls/5/index.m3u8
CCTV5+,http://42.48.106.247:808/hls/6/index.m3u8
CCTV6,http://42.48.106.247:808/hls/7/index.m3u8
CCTV7,http://42.48.106.247:808/hls/8/index.m3u8
CCTV8,http://42.48.106.247:808/hls/9/index.m3u8
CCTV9,http://42.48.106.247:808/hls/10/index.m3u8
CCTV10,http://42.48.106.247:808/hls/11/index.m3u8
CCTV11,http://42.48.106.247:808/hls/12/index.m3u8
CCTV12,http://42.48.106.247:808/hls/13/index.m3u8
CCTV13,http://42.48.106.247:808/hls/14/index.m3u8
CCTV14,http://42.48.106.247:808/hls/15/index.m3u8
CCTV15,http://42.48.106.247:808/hls/16/index.m3u8
CCTV17,http://42.48.106.247:808/hls/17/index.m3u8
CCTV4,http://42.48.106.247:808/hls/125/index.m3u8
CCTV1,http://106.46.169.202:9000/hls/1/index.m3u8
CCTV2,http://106.46.169.202:9000/hls/2/index.m3u8
CCTV3,http://106.46.169.202:9000/hls/3/index.m3u8
CCTV4,http://106.46.169.202:9000/hls/4/index.m3u8
CCTV5,http://106.46.169.202:9000/hls/5/index.m3u8
CCTV6,http://106.46.169.202:9000/hls/6/index.m3u8
CCTV7,http://106.46.169.202:9000/hls/7/index.m3u8
CCTV8,http://106.46.169.202:9000/hls/8/index.m3u8
CCTV9,http://106.46.169.202:9000/hls/9/index.m3u8
CCTV10,http://106.46.169.202:9000/hls/10/index.m3u8
CCTV11,http://106.46.169.202:9000/hls/11/index.m3u8
CCTV12,http://106.46.169.202:9000/hls/12/index.m3u8
CCTV1,http://112.27.235.94:8000/hls/1/index.m3u8
CCTV2,http://112.27.235.94:8000/hls/2/index.m3u8
CCTV3,http://112.27.235.94:8000/hls/3/index.m3u8
CCTV4,http://112.27.235.94:8000/hls/4/index.m3u8
CCTV5,http://112.27.235.94:8000/hls/5/index.m3u8
CCTV5+,http://112.27.235.94:8000/hls/6/index.m3u8
CCTV6,http://112.27.235.94:8000/hls/7/index.m3u8
CCTV7,http://112.27.235.94:8000/hls/8/index.m3u8
CCTV8,http://112.27.235.94:8000/hls/9/index.m3u8
CCTV9,http://112.27.235.94:8000/hls/10/index.m3u8
CCTV10,http://112.27.235.94:8000/hls/11/index.m3u8
CCTV11,http://112.27.235.94:8000/hls/12/index.m3u8
CCTV12,http://112.27.235.94:8000/hls/13/index.m3u8
CCTV13,http://112.27.235.94:8000/hls/14/index.m3u8
CCTV14,http://112.27.235.94:8000/hls/15/index.m3u8
CCTV15,http://112.27.235.94:8000/hls/16/index.m3u8
CCTV1,http://221.14.142.118:9003/hls/1/index.m3u8
CCTV2,http://221.14.142.118:9003/hls/2/index.m3u8
CCTV3,http://221.14.142.118:9003/hls/3/index.m3u8
CCTV4,http://221.14.142.118:9003/hls/4/index.m3u8
CCTV5,http://221.14.142.118:9003/hls/5/index.m3u8
CCTV6,http://221.14.142.118:9003/hls/6/index.m3u8
CCTV7,http://221.14.142.118:9003/hls/7/index.m3u8
CCTV8,http://221.14.142.118:9003/hls/8/index.m3u8
CCTV9,http://221.14.142.118:9003/hls/9/index.m3u8
CCTV10,http://221.14.142.118:9003/hls/10/index.m3u8
CCTV11,http://221.14.142.118:9003/hls/11/index.m3u8
CCTV12,http://221.14.142.118:9003/hls/12/index.m3u8
CCTV13,http://221.14.142.118:9003/hls/33/index.m3u8
CCTV14,http://221.14.142.118:9003/hls/14/index.m3u8
CCTV15,http://221.14.142.118:9003/hls/15/index.m3u8
CCTV1,http://113.234.207.248:81/hls/1/index.m3u8
CCTV2,http://113.234.207.248:81/hls/2/index.m3u8
CCTV3,http://113.234.207.248:81/hls/3/index.m3u8
CCTV4,http://113.234.207.248:81/hls/4/index.m3u8
CCTV5,http://113.234.207.248:81/hls/5/index.m3u8
CCTV6,http://113.234.207.248:81/hls/6/index.m3u8
CCTV7,http://113.234.207.248:81/hls/7/index.m3u8
CCTV8,http://113.234.207.248:81/hls/8/index.m3u8
CCTV9,http://113.234.207.248:81/hls/9/index.m3u8
CCTV10,http://113.234.207.248:81/hls/10/index.m3u8
CCTV11,http://113.234.207.248:81/hls/11/index.m3u8
CCTV12,http://113.234.207.248:81/hls/12/index.m3u8
CCTV13,http://113.234.207.248:81/hls/13/index.m3u8
CCTV14,http://113.234.207.248:81/hls/14/index.m3u8
CCTV15,http://113.234.207.248:81/hls/15/index.m3u8
CCTV16,http://113.234.207.248:81/hls/16/index.m3u8
CCTV17,http://113.234.207.248:81/hls/17/index.m3u8
CCTV5+,http://113.234.207.248:81/hls/18/index.m3u8
CCTV4,http://113.234.207.248:81/hls/73/index.m3u8
CCTV4,http://113.234.207.248:81/hls/74/index.m3u8
CCTV1,http://116.228.170.214:888/hls/1/index.m3u8
CCTV2,http://116.228.170.214:888/hls/2/index.m3u8
CCTV3,http://116.228.170.214:888/hls/3/index.m3u8
CCTV4,http://116.228.170.214:888/hls/4/index.m3u8
CCTV5,http://116.228.170.214:888/hls/5/index.m3u8
CCTV6,http://116.228.170.214:888/hls/7/index.m3u8
CCTV7,http://116.228.170.214:888/hls/8/index.m3u8
CCTV8,http://116.228.170.214:888/hls/9/index.m3u8
CCTV9,http://116.228.170.214:888/hls/10/index.m3u8
CCTV10,http://116.228.170.214:888/hls/11/index.m3u8
CCTV12,http://116.228.170.214:888/hls/13/index.m3u8
CCTV13,http://116.228.170.214:888/hls/14/index.m3u8
CCTV14,http://116.228.170.214:888/hls/15/index.m3u8
CCTV15,http://116.228.170.214:888/hls/16/index.m3u8
CCTV1,http://218.206.221.78:90/hls/1/index.m3u8
CCTV2,http://218.206.221.78:90/hls/2/index.m3u8
CCTV3,http://218.206.221.78:90/hls/3/index.m3u8
CCTV4,http://218.206.221.78:90/hls/4/index.m3u8
CCTV5,http://218.206.221.78:90/hls/5/index.m3u8
CCTV6,http://218.206.221.78:90/hls/6/index.m3u8
CCTV7,http://218.206.221.78:90/hls/7/index.m3u8
CCTV8,http://218.206.221.78:90/hls/8/index.m3u8
CCTV9,http://218.206.221.78:90/hls/9/index.m3u8
CCTV10,http://218.206.221.78:90/hls/10/index.m3u8
CCTV11,http://218.206.221.78:90/hls/11/index.m3u8
CCTV12,http://218.206.221.78:90/hls/12/index.m3u8
CCTV13,http://218.206.221.78:90/hls/13/index.m3u8
CCTV14,http://218.206.221.78:90/hls/14/index.m3u8
CCTV15,http://218.206.221.78:90/hls/15/index.m3u8
CCTV17,http://218.206.221.78:90/hls/17/index.m3u8
CCTV5+,http://218.206.221.78:90/hls/18/index.m3u8
📺卫视频道,#genre#
内蒙古蒙语卫视,http://1.24.39.180:808/hls/16/index.m3u8
内蒙古汉语卫视,http://1.24.39.180:808/hls/17/index.m3u8
湖南卫视,http://1.24.39.180:808/hls/28/index.m3u8
浙江卫视,http://1.24.39.180:808/hls/29/index.m3u8
江苏卫视,http://1.24.39.180:808/hls/30/index.m3u8
安徽卫视,http://1.24.39.180:808/hls/31/index.m3u8
贵州卫视,http://1.24.39.180:808/hls/32/index.m3u8
天津卫视,http://1.24.39.180:808/hls/33/index.m3u8
深圳卫视,http://1.24.39.180:808/hls/34/index.m3u8
山东卫视,http://1.24.39.180:808/hls/35/index.m3u8
云南卫视,http://1.24.39.180:808/hls/36/index.m3u8
河南卫视,http://1.24.39.180:808/hls/37/index.m3u8
黑龙江卫视,http://1.24.39.180:808/hls/38/index.m3u8
四川卫视,http://1.24.39.180:808/hls/39/index.m3u8
江西卫视,http://1.24.39.180:808/hls/40/index.m3u8
广东卫视,http://113.88.211.3:9898/hls/19/index.m3u8
