122.114.131.154:4060,#genre#
CCTV1,http://122.114.131.154:4060/hls/1/index.m3u8
CCTV2,http://122.114.131.154:4060/hls/2/index.m3u8
CCTV3,http://122.114.131.154:4060/hls/3/index.m3u8
CCTV4,http://122.114.131.154:4060/hls/4/index.m3u8
CCTV5,http://122.114.131.154:4060/hls/5/index.m3u8
CCTV6,http://122.114.131.154:4060/hls/6/index.m3u8
CCTV7,http://122.114.131.154:4060/hls/7/index.m3u8
CCTV8,http://122.114.131.154:4060/hls/8/index.m3u8
CCTV9,http://122.114.131.154:4060/hls/9/index.m3u8
CCTV10,http://122.114.131.154:4060/hls/10/index.m3u8
CCTV11,http://122.114.131.154:4060/hls/11/index.m3u8
CCTV12,http://122.114.131.154:4060/hls/12/index.m3u8
CCTV13,http://122.114.131.154:4060/hls/13/index.m3u8
CCTV14,http://122.114.131.154:4060/hls/14/index.m3u8
CCTV15,http://122.114.131.154:4060/hls/15/index.m3u8
CCTV5+,http://122.114.131.154:4060/hls/16/index.m3u8
山西卫视,http://122.114.131.154:4060/hls/17/index.m3u8
浙江卫视,http://122.114.131.154:4060/hls/18/index.m3u8
东方卫视,http://122.114.131.154:4060/hls/19/index.m3u8
天津卫视,http://122.114.131.154:4060/hls/20/index.m3u8
厦门卫视,http://122.114.131.154:4060/hls/21/index.m3u8
山东卫视,http://122.114.131.154:4060/hls/22/index.m3u8
湖北卫视,http://122.114.131.154:4060/hls/23/index.m3u8
深圳卫视,http://122.114.131.154:4060/hls/24/index.m3u8
黑龙江卫视,http://122.114.131.154:4060/hls/25/index.m3u8
北京卫视,http://122.114.131.154:4060/hls/26/index.m3u8
湖南卫视,http://122.114.131.154:4060/hls/27/index.m3u8
江苏卫视,http://122.114.131.154:4060/hls/28/index.m3u8
辽宁卫视,http://122.114.131.154:4060/hls/29/index.m3u8
江西卫视,http://122.114.131.154:4060/hls/30/index.m3u8
四川卫视,http://122.114.131.154:4060/hls/31/index.m3u8
动作影院,http://122.114.131.154:4060/hls/32/index.m3u8
喜剧影院,http://122.114.131.154:4060/hls/37/index.m3u8
星影,http://122.114.131.154:4060/hls/38/index.m3u8
军事,http://122.114.131.154:4060/hls/39/index.m3u8
法制,http://122.114.131.154:4060/hls/40/index.m3u8
CCTV-1 综合,http://122.114.131.154:4060/hls/1/index.m3u8
CCTV-2 财经,http://122.114.131.154:4060/hls/2/index.m3u8
CCTV-3 综艺,http://122.114.131.154:4060/hls/3/index.m3u8
CCTV-4 中文国际,http://122.114.131.154:4060/hls/4/index.m3u8
CCTV-5 体育,http://122.114.131.154:4060/hls/5/index.m3u8
CCTV-5+ 体育赛事,http://122.114.131.154:4060/hls/16/index.m3u8
CCTV-6 电影,http://122.114.131.154:4060/hls/6/index.m3u8
CCTV-7 国防军事,http://122.114.131.154:4060/hls/7/index.m3u8
CCTV-8 电视剧,http://122.114.131.154:4060/hls/8/index.m3u8
CCTV-9 纪录,http://122.114.131.154:4060/hls/9/index.m3u8
CCTV-10 科教,http://122.114.131.154:4060/hls/10/index.m3u8
CCTV-11 戏曲,http://122.114.131.154:4060/hls/11/index.m3u8
CCTV-12 社会与法,http://122.114.131.154:4060/hls/12/index.m3u8
CCTV-13 新闻,http://122.114.131.154:4060/hls/13/index.m3u8
CCTV-14 少儿,http://122.114.131.154:4060/hls/14/index.m3u8
CCTV-15 音乐,http://122.114.131.154:4060/hls/15/index.m3u8
北京卡酷少儿,http://122.114.131.154:4060/hls/33/index.m3u8
湖南金鹰卡通,http://122.114.131.154:4060/hls/34/index.m3u8
嘉佳卡通,http://122.114.131.154:4060/hls/35/index.m3u8
经典电影,http://122.114.131.154:4060/hls/36/index.m3u8

27.41.244.148:801,#genre#
CCTV1,http://27.41.244.148:801/hls/1/index.m3u8
CCTV2,http://27.41.244.148:801/hls/2/index.m3u8
CCTV3,http://27.41.244.148:801/hls/3/index.m3u8
CCTV4,http://27.41.244.148:801/hls/4/index.m3u8
CCTV5,http://27.41.244.148:801/hls/5/index.m3u8
CCTV6,http://27.41.244.148:801/hls/6/index.m3u8
CCTV7,http://27.41.244.148:801/hls/7/index.m3u8
CCTV8,http://27.41.244.148:801/hls/8/index.m3u8
CCTV9,http://27.41.244.148:801/hls/9/index.m3u8
CCTV10,http://27.41.244.148:801/hls/10/index.m3u8
CCTV11,http://27.41.244.148:801/hls/11/index.m3u8
CCTV12,http://27.41.244.148:801/hls/12/index.m3u8
CCTV13,http://27.41.244.148:801/hls/13/index.m3u8
CCTV14,http://27.41.244.148:801/hls/14/index.m3u8
CCTV15,http://27.41.244.148:801/hls/15/index.m3u8
CCTV17,http://27.41.244.148:801/hls/16/index.m3u8
CCTV-1 综合,http://27.41.244.148:801/hls/1/index.m3u8
CCTV-2 财经,http://27.41.244.148:801/hls/2/index.m3u8
CCTV-3 综艺,http://27.41.244.148:801/hls/3/index.m3u8
CCTV-4 中文国际,http://27.41.244.148:801/hls/4/index.m3u8
CCTV-5 体育,http://27.41.244.148:801/hls/5/index.m3u8
CCTV-6 电影,http://27.41.244.148:801/hls/6/index.m3u8
CCTV-7 国防军事,http://27.41.244.148:801/hls/7/index.m3u8
CCTV-8 电视剧,http://27.41.244.148:801/hls/8/index.m3u8
CCTV-9 纪录,http://27.41.244.148:801/hls/9/index.m3u8
CCTV-10 科教,http://27.41.244.148:801/hls/10/index.m3u8
CCTV-11 戏曲,http://27.41.244.148:801/hls/11/index.m3u8
CCTV-12 社会与法,http://27.41.244.148:801/hls/12/index.m3u8
CCTV-13 新闻,http://27.41.244.148:801/hls/13/index.m3u8
CCTV-14 少儿,http://27.41.244.148:801/hls/14/index.m3u8
CCTV-15 音乐,http://27.41.244.148:801/hls/15/index.m3u8
CCTV-17 农业农村,http://27.41.244.148:801/hls/16/index.m3u8
风云足球,http://27.41.244.148:801/hls/906/index.m3u8
东南卫视,http://27.41.244.148:801/hls/32/index.m3u8
内蒙古卫视,http://27.41.244.148:801/hls/47/index.m3u8
北京卫视,http://27.41.244.148:801/hls/28/index.m3u8
吉林卫视,http://27.41.244.148:801/hls/40/index.m3u8
四川卫视,http://27.41.244.148:801/hls/54/index.m3u8
天津卫视,http://27.41.244.148:801/hls/55/index.m3u8
宁夏卫视,http://27.41.244.148:801/hls/48/index.m3u8
安徽卫视,http://27.41.244.148:801/hls/29/index.m3u8
山东卫视,http://27.41.244.148:801/hls/51/index.m3u8
山西卫视,http://27.41.244.148:801/hls/52/index.m3u8
广西卫视,http://27.41.244.148:801/hls/34/index.m3u8
新疆卫视,http://27.41.244.148:801/hls/57/index.m3u8
江苏卫视,http://27.41.244.148:801/hls/42/index.m3u8
江西卫视,http://27.41.244.148:801/hls/43/index.m3u8
河北卫视,http://27.41.244.148:801/hls/37/index.m3u8
河南卫视,http://27.41.244.148:801/hls/38/index.m3u8
浙江卫视,http://27.41.244.148:801/hls/58/index.m3u8
海南卫视,http://27.41.244.148:801/hls/36/index.m3u8
湖南卫视,http://27.41.244.148:801/hls/27/index.m3u8
甘肃卫视,http://27.41.244.148:801/hls/33/index.m3u8
西藏卫视,http://27.41.244.148:801/hls/56/index.m3u8
贵州卫视,http://27.41.244.148:801/hls/35/index.m3u8
重庆卫视,http://27.41.244.148:801/hls/59/index.m3u8
陕西卫视,http://27.41.244.148:801/hls/53/index.m3u8
青海卫视,http://27.41.244.148:801/hls/49/index.m3u8
黑龙江卫视,http://27.41.244.148:801/hls/39/index.m3u8
广东体育,http://27.41.244.148:801/hls/204/index.m3u8
广东珠江,http://27.41.244.148:801/hls/25/index.m3u8
凤凰中文,http://27.41.244.148:801/hls/205/index.m3u8
潮州综合,http://27.41.244.148:801/hls/200/index.m3u8
CHC家庭电影,http://27.41.244.148:801/hls/905/index.m3u8
揭阳综合,http://27.41.244.148:801/hls/301/index.m3u8
汕头新闻综合,http://27.41.244.148:801/hls/901/index.m3u8
汕头经济生活,http://27.41.244.148:801/hls/903/index.m3u8

218.15.20.81:3388,#genre#
CCTV1,http://218.15.20.81:3388/hls/1/index.m3u8
CCTV3,http://218.15.20.81:3388/hls/3/index.m3u8
CCTV5,http://218.15.20.81:3388/hls/5/index.m3u8
CCTV5,http://218.15.20.81:3388/hls/4/index.m3u8
